Name,Dim,Time
dgemv,2700,50024
dgemv,2700,47997
ddot,7840000,56538
ddot,7840000,59291
ddot,7840000,57070
ddot,7840000,56040
ddot,7840000,58944
ddot,7840000,57163
ddot,7840000,55635
ddot,7840000,59280
ddot,7840000,57078
dgemv,2800,43415
dgemv,2800,44438
dgemv,2800,43065
dgemv,2800,43370
dgemv,2800,44568
dgemv,2800,43085
dgemv,2800,43294
dgemv,2800,44615
dgemv,2800,43046
ddot,8410000,73099
ddot,8410000,72909
ddot,8410000,67737
ddot,8410000,71338
ddot,8410000,72526
ddot,8410000,69794
ddot,8410000,69794
ddot,8410000,66913
ddot,8410000,72125
dgemv,2900,49160
dgemv,2900,48104
dgemv,2900,50024
dgemv,2900,48510
dgemv,2900,46271
dgemv,2900,50046
dgemv,2900,50448
dgemv,2900,47110
dgemv,2900,49852
ddot,9000000,88940
ddot,9000000,80174
ddot,9000000,85146
ddot,9000000,77106
ddot,9000000,87081
ddot,9000000,85504
ddot,9000000,89055
ddot,9000000,88343
ddot,9000000,84926
dgemv,3000,59522
dgemv,3000,61188
dgemv,3000,61663
dgemv,3000,59587
dgemv,3000,60035
dgemv,3000,56812
dgemv,3000,59504
dgemv,3000,56471
dgemv,3000,61213
ddot,9610000,71207
ddot,9610000,71855
ddot,9610000,67833
ddot,9610000,73005
ddot,9610000,67364
ddot,9610000,71013
ddot,9610000,68859
ddot,9610000,67982
ddot,9610000,72131
dgemv,3100,54215
dgemv,3100,52644
dgemv,3100,54111
dgemv,3100,54271
dgemv,3100,52756
dgemv,3100,54823
dgemv,3100,52621
dgemv,3100,54287
dgemv,3100,53269
ddot,10240000,86286
ddot,10240000,81708
ddot,10240000,84656
ddot,10240000,78041
ddot,10240000,86526
ddot,10240000,82757
ddot,10240000,87010
ddot,10240000,88038
ddot,10240000,84493
dgemv,3200,57278
dgemv,3200,61182
dgemv,3200,61259
dgemv,3200,59722
dgemv,3200,59841
dgemv,3200,58119
dgemv,3200,59378
dgemv,3200,56667
dgemv,3200,60875
ddot,10890000,97150
ddot,10890000,107699
ddot,10890000,104145
ddot,10890000,108311
ddot,10890000,107631
ddot,10890000,102114
ddot,10890000,107050
ddot,10890000,96625
ddot,10890000,103248
