Name,Size,Time
ddot,15210000,105081
ddot,15210000,104871
ddot,15210000,104839
ddot,15210000,105460
ddot,15210000,104516
ddot,15210000,104716
ddot,15210000,104344
ddot,15210000,104388
ddot,15210000,104412
dgemv,3900,81064
dgemv,3900,81043
dgemv,3900,81135
dgemv,3900,80795
dgemv,3900,80826
dgemv,3900,81149
dgemv,3900,80980
dgemv,3900,80726
dgemv,3900,80670
ddot,16000000,173848
ddot,16000000,173227
ddot,16000000,133753
ddot,16000000,134186
ddot,16000000,133553
ddot,16000000,133574
ddot,16000000,133760
ddot,16000000,135292
ddot,16000000,133649
dgemv,4000,118274
dgemv,4000,115008
dgemv,4000,98421
dgemv,4000,98541
dgemv,4000,98227
dgemv,4000,98791
dgemv,4000,98320
dgemv,4000,98472
dgemv,4000,98579
ddot,16810000,112688
ddot,16810000,112437
ddot,16810000,112318
ddot,16810000,112429
ddot,16810000,112324
ddot,16810000,113038
ddot,16810000,112356
ddot,16810000,112370
ddot,16810000,113559
dgemv,4100,90005
dgemv,4100,89983
dgemv,4100,89943
dgemv,4100,89930
dgemv,4100,90073
dgemv,4100,90005
dgemv,4100,90060
dgemv,4100,90231
dgemv,4100,90557
ddot,17640000,120865
ddot,17640000,120412
ddot,17640000,120402
ddot,17640000,120422
ddot,17640000,120444
ddot,17640000,120437
ddot,17640000,120977
ddot,17640000,120909
ddot,17640000,120979
dgemv,4200,94138
dgemv,4200,93733
dgemv,4200,93629
dgemv,4200,93677
dgemv,4200,93657
dgemv,4200,93995
dgemv,4200,94091
dgemv,4200,94042
dgemv,4200,94149
ddot,18490000,126752
ddot,18490000,126465
ddot,18490000,126501
ddot,18490000,127015
ddot,18490000,127228
ddot,18490000,127132
ddot,18490000,126989
ddot,18490000,126540
ddot,18490000,126524
dgemv,4300,98291
dgemv,4300,98862
dgemv,4300,98615
dgemv,4300,98746
dgemv,4300,99045
dgemv,4300,98873
dgemv,4300,98383
dgemv,4300,98438
dgemv,4300,98483
ddot,19360000,213048
ddot,19360000,212585
ddot,19360000,203693
ddot,19360000,160331
ddot,19360000,160307
ddot,19360000,160097
ddot,19360000,159997
ddot,19360000,159765
ddot,19360000,159830
dgemv,4400,141840
dgemv,4400,141875
dgemv,4400,120316
dgemv,4400,118957
dgemv,4400,118865
dgemv,4400,121612
dgemv,4400,118611
dgemv,4400,118491
dgemv,4400,141354
ddot,20250000,140369
ddot,20250000,140101
ddot,20250000,140162
ddot,20250000,140781
ddot,20250000,139984
ddot,20250000,141272
ddot,20250000,141272
ddot,20250000,141547
ddot,20250000,140021
dgemv,4500,108633
dgemv,4500,108588
dgemv,4500,108603
dgemv,4500,108541
dgemv,4500,109413
dgemv,4500,109714
dgemv,4500,109388
dgemv,4500,109134
dgemv,4500,108378
ddot,21160000,147227
ddot,21160000,147286
ddot,21160000,147296
ddot,21160000,146902
ddot,21160000,146005
ddot,21160000,146067
ddot,21160000,146059
ddot,21160000,145854
ddot,21160000,145887
dgemv,4600,114426
dgemv,4600,114207
dgemv,4600,114134
dgemv,4600,113175
dgemv,4600,113565
dgemv,4600,113281
dgemv,4600,113592
dgemv,4600,113234
dgemv,4600,113387
ddot,22090000,151602
ddot,22090000,151282
ddot,22090000,151522
ddot,22090000,151242
ddot,22090000,151232
ddot,22090000,152160
ddot,22090000,151807
ddot,22090000,152370
ddot,22090000,151929
dgemv,4700,117715
dgemv,4700,117740
dgemv,4700,117735
dgemv,4700,117799
dgemv,4700,117712
dgemv,4700,118416
dgemv,4700,118968
dgemv,4700,118155
dgemv,4700,117661
ddot,23040000,222081
ddot,23040000,251960
ddot,23040000,252018
ddot,23040000,191196
ddot,23040000,191364
ddot,23040000,191065
ddot,23040000,191175
ddot,23040000,191794
ddot,23040000,252324
dgemv,4800,169021
dgemv,4800,169912
dgemv,4800,147969
dgemv,4800,142742
dgemv,4800,141265
dgemv,4800,141060
dgemv,4800,141288
dgemv,4800,154383
dgemv,4800,168596
ddot,24010000,162370
ddot,24010000,162100
ddot,24010000,163629
ddot,24010000,163974
ddot,24010000,163371
ddot,24010000,161956
ddot,24010000,162244
ddot,24010000,161988
ddot,24010000,161942
dgemv,4900,129220
dgemv,4900,130329
dgemv,4900,129944
dgemv,4900,129928
dgemv,4900,128801
dgemv,4900,128768
dgemv,4900,128854
dgemv,4900,128820
dgemv,4900,129257
ddot,25000000,166837
ddot,25000000,166499
ddot,25000000,166953
ddot,25000000,166464
ddot,25000000,166511
ddot,25000000,167207
ddot,25000000,167594
ddot,25000000,167105
ddot,25000000,166528
dgemv,5000,133711
dgemv,5000,132937
dgemv,5000,132965
dgemv,5000,133000
dgemv,5000,133539
dgemv,5000,134103
dgemv,5000,133658
dgemv,5000,133010
dgemv,5000,132961
ddot,10000,45
ddot,10000,35
ddot,10000,37
ddot,10000,36
ddot,10000,36
ddot,10000,35
ddot,10000,35
ddot,10000,36
ddot,10000,36
dgemv,100,41
dgemv,100,32
dgemv,100,32
dgemv,100,32
dgemv,100,32
dgemv,100,32
dgemv,100,32
dgemv,100,32
dgemv,100,32
ddot,40000,300
ddot,40000,197
ddot,40000,165
ddot,40000,169
ddot,40000,175
ddot,40000,165
ddot,40000,162
ddot,40000,189
ddot,40000,176
dgemv,200,178
dgemv,200,142
dgemv,200,139
dgemv,200,138
dgemv,200,139
dgemv,200,137
dgemv,200,142
dgemv,200,153
dgemv,200,138
ddot,90000,894
ddot,90000,666
ddot,90000,659
ddot,90000,640
ddot,90000,638
ddot,90000,638
ddot,90000,656
ddot,90000,657
ddot,90000,656
dgemv,300,505
dgemv,300,481
dgemv,300,501
dgemv,300,499
dgemv,300,499
dgemv,300,498
dgemv,300,478
dgemv,300,479
dgemv,300,479
ddot,160000,1768
ddot,160000,1342
ddot,160000,1366
ddot,160000,1352
ddot,160000,1324
ddot,160000,1351
ddot,160000,1353
ddot,160000,1373
ddot,160000,1332
dgemv,400,990
dgemv,400,954
dgemv,400,964
dgemv,400,957
dgemv,400,962
dgemv,400,935
dgemv,400,960
dgemv,400,967
dgemv,400,946
ddot,250000,3027
ddot,250000,2576
ddot,250000,2599
ddot,250000,2618
ddot,250000,2677
ddot,250000,2596
ddot,250000,2611
ddot,250000,2589
ddot,250000,2586
dgemv,500,1775
dgemv,500,1738
dgemv,500,1733
dgemv,500,1730
dgemv,500,1741
dgemv,500,1723
dgemv,500,1745
dgemv,500,1720
dgemv,500,1707
ddot,360000,2903
ddot,360000,2687
ddot,360000,2687
ddot,360000,2667
ddot,360000,2686
ddot,360000,2681
ddot,360000,2688
ddot,360000,2673
ddot,360000,2689
dgemv,600,2028
dgemv,600,1995
dgemv,600,1996
dgemv,600,2000
dgemv,600,1995
dgemv,600,1996
dgemv,600,2000
dgemv,600,1995
dgemv,600,1995
ddot,490000,4860
ddot,490000,4809
ddot,490000,4431
ddot,490000,4474
ddot,490000,4472
ddot,490000,4418
ddot,490000,4526
ddot,490000,4471
ddot,490000,4451
dgemv,700,2962
dgemv,700,2901
dgemv,700,2916
dgemv,700,2907
dgemv,700,2901
dgemv,700,2886
dgemv,700,2879
dgemv,700,2925
dgemv,700,2918
ddot,640000,6753
ddot,640000,6437
ddot,640000,6333
ddot,640000,6515
ddot,640000,6388
ddot,640000,6345
ddot,640000,6460
ddot,640000,6377
ddot,640000,6556
dgemv,800,4513
dgemv,800,4406
dgemv,800,4431
dgemv,800,4478
dgemv,800,4364
dgemv,800,4410
dgemv,800,4392
dgemv,800,4580
dgemv,800,4396
ddot,810000,5706
ddot,810000,5456
ddot,810000,5456
ddot,810000,5470
ddot,810000,5472
ddot,810000,5472
ddot,810000,5455
ddot,810000,5456
ddot,810000,5455
dgemv,900,4404
dgemv,900,4378
dgemv,900,4362
dgemv,900,4360
dgemv,900,4363
dgemv,900,4363
dgemv,900,4379
dgemv,900,4382
dgemv,900,4380
ddot,1000000,7378
ddot,1000000,7031
ddot,1000000,7027
ddot,1000000,7028
ddot,1000000,7091
ddot,1000000,7020
ddot,1000000,7030
ddot,1000000,7032
ddot,1000000,7034
dgemv,1000,5442
dgemv,1000,5443
dgemv,1000,5436
dgemv,1000,5439
dgemv,1000,5427
dgemv,1000,5439
dgemv,1000,5421
dgemv,1000,5438
dgemv,1000,5437
ddot,1210000,10300
ddot,1210000,10030
ddot,1210000,10049
ddot,1210000,10016
ddot,1210000,10044
ddot,1210000,10036
ddot,1210000,9993
ddot,1210000,10005
ddot,1210000,10027
dgemv,1100,7442
dgemv,1100,7478
dgemv,1100,7487
dgemv,1100,7423
dgemv,1100,7708
dgemv,1100,7447
dgemv,1100,7508
dgemv,1100,7447
dgemv,1100,7468
ddot,1440000,9927
ddot,1440000,9683
ddot,1440000,9722
ddot,1440000,9709
ddot,1440000,9706
ddot,1440000,9714
ddot,1440000,9690
ddot,1440000,9770
ddot,1440000,9751
dgemv,1200,7714
dgemv,1200,7686
dgemv,1200,7669
dgemv,1200,7688
dgemv,1200,7671
dgemv,1200,7690
dgemv,1200,7782
dgemv,1200,7737
dgemv,1200,7732
ddot,1690000,15088
ddot,1690000,14913
ddot,1690000,14813
ddot,1690000,14750
ddot,1690000,14789
ddot,1690000,14726
ddot,1690000,14790
ddot,1690000,14805
ddot,1690000,14752
dgemv,1300,9949
dgemv,1300,10003
dgemv,1300,9919
dgemv,1300,9964
dgemv,1300,9870
dgemv,1300,9916
dgemv,1300,9970
dgemv,1300,9941
dgemv,1300,9965
ddot,1960000,17795
ddot,1960000,17285
ddot,1960000,17420
ddot,1960000,17295
ddot,1960000,17369
ddot,1960000,17365
ddot,1960000,17276
ddot,1960000,17257
ddot,1960000,17418
dgemv,1400,11623
dgemv,1400,11580
dgemv,1400,11639
dgemv,1400,11612
dgemv,1400,11580
dgemv,1400,11543
dgemv,1400,11592
dgemv,1400,11541
dgemv,1400,11640
ddot,2250000,18967
ddot,2250000,18650
ddot,2250000,18663
ddot,2250000,18656
ddot,2250000,18651
ddot,2250000,18876
ddot,2250000,18634
ddot,2250000,18564
ddot,2250000,18561
dgemv,1500,13882
dgemv,1500,13867
dgemv,1500,13888
dgemv,1500,13813
dgemv,1500,13807
dgemv,1500,13830
dgemv,1500,14024
dgemv,1500,13932
dgemv,1500,13913
ddot,2560000,17926
ddot,2560000,17694
ddot,2560000,17692
ddot,2560000,17708
ddot,2560000,17690
ddot,2560000,17730
ddot,2560000,17783
ddot,2560000,17790
ddot,2560000,17785
dgemv,1600,13708
dgemv,1600,13659
dgemv,1600,13630
dgemv,1600,13628
dgemv,1600,13701
dgemv,1600,13716
dgemv,1600,13716
dgemv,1600,13720
dgemv,1600,13728
ddot,2890000,26390
ddot,2890000,25996
ddot,2890000,26090
ddot,2890000,26051
ddot,2890000,26460
ddot,2890000,26322
ddot,2890000,26192
ddot,2890000,26109
ddot,2890000,26067
dgemv,1700,17027
dgemv,1700,17000
dgemv,1700,17006
dgemv,1700,17012
dgemv,1700,16911
dgemv,1700,17086
dgemv,1700,16985
dgemv,1700,17000
dgemv,1700,16954
ddot,3240000,27107
ddot,3240000,26853
ddot,3240000,26838
ddot,3240000,26809
ddot,3240000,26817
ddot,3240000,26795
ddot,3240000,26781
ddot,3240000,29255
ddot,3240000,26811
dgemv,1800,20020
dgemv,1800,20045
dgemv,1800,20093
dgemv,1800,19999
dgemv,1800,20061
dgemv,1800,19985
dgemv,1800,20030
dgemv,1800,20103
dgemv,1800,19981
ddot,3610000,25262
ddot,3610000,25010
ddot,3610000,25057
ddot,3610000,25005
ddot,3610000,25014
ddot,3610000,25065
ddot,3610000,24982
ddot,3610000,25001
ddot,3610000,25041
dgemv,1900,19384
dgemv,1900,19333
dgemv,1900,19342
dgemv,1900,19358
dgemv,1900,19341
dgemv,1900,19348
dgemv,1900,19343
dgemv,1900,19332
dgemv,1900,19350
ddot,4000000,36696
ddot,4000000,30749
ddot,4000000,27978
ddot,4000000,28082
ddot,4000000,28175
ddot,4000000,27965
ddot,4000000,27951
ddot,4000000,27963
ddot,4000000,27977
dgemv,2000,23483
dgemv,2000,21545
dgemv,2000,21546
dgemv,2000,21720
dgemv,2000,21549
dgemv,2000,21556
dgemv,2000,21602
dgemv,2000,21547
dgemv,2000,21536
ddot,4410000,36912
ddot,4410000,36347
ddot,4410000,45222
ddot,4410000,45270
ddot,4410000,45061
ddot,4410000,45185
ddot,4410000,45290
ddot,4410000,45002
